Agency,MMR Goal,Critical,Performance Indicator,FY13,FY14,FY15,FY16,FY17,TGT17,TGT18,5 Yr Trend,Desired Direction
TLC,1b, FALSE,– Re-inspection (%),NA,13.00%,12.80%,12.40%,10.40%,*,*,NA,Down
DPR,1a, FALSE,– Cleanliness of small parks and playgrounds (%),89%,91%,91%,91%,92%,*,*,Neutral,Up
CCRB,1a, FALSE,Average age of open docket (days),147,135,106,74,80,*,*,Down,Down
ACS,1c, FALSE,Total days all children spent in foster care,"5,502,471","4,976,399","4,710,116","4,379,682","4,065,826",*,*,Down,Down
DCA,1a, TRUE,Median complaint processing time (days),21,20,27,28,27,28,28,Up,Down
DOP,2a, FALSE,Adult supervision cases - end of period,"23,886","23,805","21,831","21,153","20,404",*,*,Down,*
CCRB,1b, TRUE,Mediation satisfaction rate (%),97%,90%,90%,88%,88%,94%,94%,Neutral,Up
LAW,1c, FALSE,Dismissals and discontinuances,264,173,228,243,280,*,*,Up,Up
DOC,1c, FALSE,Inmates with a serious mental health diagnosis (% ADP),9.50%,10.20%,11.10%,11.00%,10.30%,*,*,Neutral,*
LAW,1b, TRUE,Cases pending in state court,"17,884","19,039","20,059","21,452","20,667","21,500","22,700",Up,Down
DPR,2a, FALSE,– Street trees removed (in response to service request),"9,765","10,525","10,702","12,821","3,997",*,*,Down,*
HRA,2b, FALSE,Total WeCARE cases,"33,280","29,138","46,510","49,637","38,016",*,*,Up,*
DDC,1c, FALSE,Eligible projects with completed post-construction surveys (%),42%,47%,28%,56%,53%,*,*,Up,Up
DOE,3b, FALSE,Percent of students who successfully completed approved rigorous courses or assessments,44.00%,46.00%,46.00%,47.40%,NA,48.40%,50.40%,NA,Up
OATH,2a, FALSE,Total summonses received from the issuing agencies at the OATH Hearings Division,"594,329","704,213","759,520","826,690","844,299",*,*,Up,*
OATH,3a, FALSE,Letters responded to in 14 days (%),99.70%,100%,100%,100%,100%,*,*,Neutral,Up
DPR,1a, FALSE,– Overall condition of large parks (%),74%,77%,78%,79%,79%,*,*,Neutral,Up
SCA,1d, FALSE,Ultimate cost of insurance losses as % of construction value (per calendar year),6.97%,4.66%,6.62%,3.47%,NA,*,*,NA,Down
NYCHH,1a, TRUE,Emergency room revisits for adult asthma patients (%),6.00%,6.20%,6.10%,6.20%,6.90%,5.00%,5.00%,Up,Down
DSNY,3a, FALSE,Missed recycling collections (%),3.30%,0.00%,0.00%,0.10%,0.10%,*,*,Down,*
DHS,2a, FALSE,Families placed in the shelter services system according to their youngest school-aged child's school address (%),70.50%,65.40%,52.90%,51.80%,50.40%,85.00%,85.00%,Down,Up
BIC,2a, FALSE,Violations admitted to or upheld at the Environmental Control Board (%),88.50%,94.00%,99.40%,98.30%,100.00%,*,*,Up,Up
DEP,6a, FALSE,Violations admitted to or upheld at the Environmental Control Board (%),88.20%,89.70%,90.90%,93.80%,92.80%,*,*,Neutral,Up
DCAS,4b, FALSE,"Value of goods and services purchased ($000,000)","$1,118","$1,191","$1,169","$1,353","$1,504",*,*,Up,*
CCRB,1b, FALSE,Civilians who accepted mediation (%),57%,51%,48%,45%,45%,*,*,Down,Up
DCA,1a, TRUE,Mediated complaints resolved to the satisfaction of the business and consumer (%),62%,62%,62%,64%,67%,62%,62%,Neutral,Up
DCA,5b, FALSE,Percent meeting time to first action - Consumer Complaint - Overcharge (4 days),96%,71%,82%,93%,98%,85%,85%,Up,*
DOE,5a, FALSE,– Elementary school ($),"$19,701","$20,398","$21,328","$23,332",NA,*,*,NA,*
DOE,4a, FALSE,Students in schools that exceed capacity - Elementary/middle schools (%),29.00%,31.00%,54.00%,54.00%,NA,*,*,NA,Down
DHS,3a, TRUE,Average length of stay for adult families in shelter (days),469,515,534,563,550,↓,↓,Up,Down
TLC,3b, FALSE,Percent meeting time to first action - For-hire Vehicle Complaint (14 days),88%,96%,61%,88%,94%,90%,90%,Neutral,*
DCLA,1b, TRUE,Capital projects initiated (%),63%,42%,85%,96%,99%,66%,66%,Up,Up
ACS,1c, TRUE,Children in foster care (average),"12,958","11,750","11,098","9,926","8,960",↓,↓,Down,Down
HRA,4a, TRUE,Individuals receiving HASA services,"32,442","32,288","32,110","31,693","33,526",*,*,Neutral,*
NYCEM,3a, FALSE,Letters responded to in 14 days (%),99%,100%,100%,100%,100%,*,*,Neutral,Up
DOB,2a, FALSE,Work without a permit complaints where access was obtained and violations were written (%),43.90%,32.70%,33.30%,29.50%,29.90%,*,*,Down,*
EDC,3a, FALSE,Private sector jobs in innovation industries (%) (calendar year),14.50%,14.60%,14.70%,14.80%,14.70%,*,*,Neutral,Up
DOE,5a, FALSE,Accidents in schools - public,513,631,669,730,725,*,*,Up,Down
DHS,2a, TRUE,Average number of adult families in shelters per day,"1,723","1,866","2,110","2,212","2,461",↓,↓,Up,Down
DCAS,2a, FALSE,CORE customer experience rating of facilities (0-100),90,96,94,100,97,90,95,Neutral,Up
BIC,2b, FALSE,Public wholesale market applications approved,85,68,49,62,121,*,*,Up,Up
DOC,1a, FALSE,Searches,"247,868","251,343","255,776","237,757","246,822",*,*,Neutral,*
DPR,1a, FALSE,Monuments receiving annual maintenance (%),63%,63%,63%,69%,65%,*,*,Neutral,Up
NYCHA,1a, TRUE,Rent collection (%),94.40%,94.60%,94.90%,94.90%,93.70%,97.50%,97.50%,Neutral,Up
HPD,2a, FALSE,– New construction starts,NA,"2,778","8,562","6,297","7,705","8,000","8,600",NA,*
EDC,3b, FALSE,New York City Industrial Development Agency projects  - Contracts closed,20,21,14,14,7,*,*,Down,Up
HRA,5a, FALSE,Claims filed within 60 days of the close of the expenditure month (%),99.00%,100.00%,100.00%,100.00%,100.00%,*,*,Neutral,Up
ACS,3a, TRUE,Escapes from secure detention,0,0,0,0,0,0,0,Neutral,Down
CCRB,1a, TRUE,Full investigations as a percentage of total cases closed (%),32%,32%,39%,38%,34%,40%,40%,Up,Up
TLC,1d, TRUE,Average time to conduct a safety and emissions inspection of a FHV (hours:minutes),0:56,1:00,0:57,0:49,1:09,1:00,1:00,Up,Down
CUNY,NA, FALSE,Annual tuition at CUNY senior colleges (full-time NYS resident),"$5,730","$6,030","$6,330","$6,330","$6,530",*,*,Up,*
CCHR,1a, FALSE,Cases referred to the Office of Administrative Trials and Hearings,59,47,89,21,21,*,*,Down,*
CCHR,3a, FALSE,Letters responded to in 14 days (%),100%,100%,100%,98%,100%,*,*,Neutral,Up
QPL,NA, TRUE,Circulation (000),"17,470","15,759","13,587","13,091","12,784","13,500","13,500",Down,Up
DPR,5a, FALSE,Payout ($000),"$24,342","$16,760","$12,690","$13,079","$16,104",*,*,Down,Down
EDC,3b, FALSE,"– Private investment leveraged on closed projects ($000,000)","$1,710.50","$5,189.00","$3,596.20",$942.20,$104.10,*,*,Down,Up
DOE,1a, FALSE,Students in the graduating class taking required Regents examinations (%),76.20%,76.70%,77.30%,76.50%,NA,77.60%,78.50%,NA,Up
DOF,1a, FALSE,– Paid on time (%),94.80%,95.00%,95.30%,96.10%,97.10%,*,*,Neutral,Up
ACS,1b, FALSE,Families entering child welfare specialized teen preventive services,NA,"1,572","1,570","1,463","1,136",*,*,NA,Up
DOE,1a, TRUE,– Grade 3,25.2,25.5,25.6,25.7,25.4,25.2,24.4,Neutral,Down
NYPD,1a, FALSE,– Felonious assault,"7,420","8,335","7,771","7,986","8,082",*,*,Neutral,Down
NYPL-Research,NA, TRUE,Program attendance,"87,990","70,192","92,206","100,330","101,554","100,900","102,000",Up,Up
DSNY,4a, FALSE,Snowfall (total inches),24,56.3,47.5,31.8,30.5,*,*,Down,*
DEP,2a, FALSE,Catch basins cleaned,"31,097","29,730","31,086","30,778","51,816",*,*,Up,*
HPD,1b, FALSE,– Emergency violations issued,"78,564","77,909","75,122","72,000","81,750",*,*,Neutral,*
DOT,7a, FALSE,Average customer in-person wait time (minutes),NA,NA,3,4,3,*,*,NA,Down
FDNY,1a, FALSE,Arson fires,"1,831","1,766","1,719","1,605","1,653",*,*,Down,Down
NYPD,2a, TRUE,Traffic fatalities (motorist/passengers),93,113,90,84,63,↓,↓,Down,Down
NYCHA,1c, TRUE,Average time to prepare vacant apartments (days),39.6,43.7,38.2,40.7,45.2,20,20,Neutral,Down
DEP,2a, TRUE,Sewer backup resolution time (hours),4.4,3.9,3.9,3.7,3.8,7,7,Down,Down
FDNY,1a, FALSE,Investigations,"7,028","7,210","7,679","7,664","7,837",*,*,Up,Up
CUNY,NA, TRUE,Six-year systemwide graduation rate (%) - CUNY associate degree students,30.10%,31.70%,30.50%,31.80%,32.20%,33.00%,33.00%,Neutral,Up
DCP,3a, FALSE,City projects (non-zoning) certified/referred,NA,62,47,50,70,*,*,NA,*
DEP,2a, FALSE,Catch basins surveyed/inspected (%),30.00%,31.00%,31.40%,31.70%,98.30%,100.00%,100.00%,Up,*
DPR,2a, FALSE,– Trees pruned as a percent of pruning eligible trees,10%,12%,20%,18%,14%,*,*,Up,Up
CCHR,3a, FALSE,Average wait time to speak with a customer service agent (minutes),10,10,10,11,9,*,*,Neutral,Down
DOC,3a, FALSE,VINE confirmed notifications,"17,396","18,445","19,330","21,993","25,250",*,*,Up,Up
SBS,5a, FALSE,CORE customer experience rating (0-100),93,95,95,98,96,*,*,Neutral,Up
DHS,1a, TRUE,Adult families receiving preventive services who did not enter the shelter system (%),95.50%,97.30%,91.50%,90.70%,94.00%,85.00%,85.00%,Neutral,Up
OCME,4a, FALSE,Median time to complete toxicology sexual assault cases (days),27,27,43,84,23,17,17,Up,Down
SBS,1a, FALSE,Site consultations by NYC Business Acceleration inspectors,215,678,"1,031","1,052","2,163",*,*,Up,Up
DYCD,3a, TRUE,Community anti-poverty program participants achieving target outcomes designated for clients in each program area (%),60%,61%,67%,64%,64%,60%,60%,Neutral,Up
LAW,1b, FALSE,– Cases pending on trial calendar,"2,256","2,260","2,255","2,425","2,441","2,500","2,600",Neutral,*
DoITT,4a, FALSE,Pay phone inspections conducted,"9,286","9,491","10,571","9,123","8,219",*,*,Down,*
DSNY,2a, TRUE,Refuse tons per truck-shift,9.9,9.6,9.5,9.7,9.6,10.7,10.7,Neutral,*
DOF,2b, FALSE,Summonses adjudicated (000),"1,719","2,072","2,082","2,037","1,988",*,*,Up,*
HPD,3a, FALSE,Asset management - Co-op buildings in portfolio,"1,069","1,151","1,207","1,217","1,235",*,*,Up,*
EDC,1a, FALSE,"Capital expenditures ($000,000) (excludes asset management and funding agreements)",$365.00,$296.30,$253.20,$303.40,$217.50,*,*,Down,*
DOF,7a, FALSE,E-mails responded to in 14 days (%),85%,86%,83%,71%,73%,85%,85%,Down,Up
DYCD,1b, FALSE,Certified residential beds for runaway or homeless youth,247,329,337,441,465,*,*,Up,*
DPR,2b, FALSE,– Tree emergencies,"50,775","14,449","17,835","20,462","21,155",*,*,Down,*
FDNY,2b, FALSE,Segment one incidents (cardiac arrest and choking),"23,538","24,985","29,719","33,096","32,261",*,*,Up,*
DHS,3a, FALSE,– subsidized,NA,NA,"4,527","5,365","5,424",*,*,NA,Up
DCA,1a, FALSE,Restitution awarded ($000),"$7,223","$3,588","$6,189","$3,472","$2,291",*,*,Down,*
LPC,1c, FALSE,"Enforcement actions taken: Total warning letters, NOVs, and stop work orders issued","1,030",993,"1,014","1,221",937,*,*,Neutral,*
DCA,4a, FALSE,Employees receiving restitution,NA,NA,97,"13,675","3,552",*,*,NA,*
HRA,5a, FALSE,IDNYC - total number of cards issued,NA,NA,"334,794","544,083","238,737",*,*,NA,*
NYPD,1a, FALSE,– Murder,0,1,0,0,0,*,*,Down,Down
DCAS,5b, TRUE,"Cumulative estimated avoided energy cost from all energy projects ($000,000)",$4.27,$7.06,$19.52,$26.08,$40.31,$27.22,$56.81,Up,Up
DOHMH,4b, FALSE,Units of supportive housing available to persons with serious mental illness (000),5.2,5.4,5.7,6,7.8,6.5,9.4,Up,Up
DCA,3a, FALSE,Tax returns filed through citywide Tax Credit Campaign,NA,"96,611","153,365","162,583","112,946",*,*,NA,Up
CCRB,1a, FALSE,Cases closed,"5,506","5,810","5,347","4,970","4,031",*,*,Down,*
DOHMH,6a, FALSE,Violations admitted to or upheld at ECB (%),64.40%,57.30%,70.90%,70.00%,75.20%,*,*,Up,*
DPR,1a, TRUE,Play equipment rated acceptable (%),93%,93%,92%,95%,97%,95%,95%,Neutral,Up
ACS,2a, FALSE,Fiscal year spending per child - Legally exempt (informal child care) vouchers,"$4,169","$4,144","$4,119","$4,140","$4,234",*,*,Neutral,*
SCA,1a, TRUE,New schools and additions constructed,19,11,52,29,25,25,10,Up,*
DOT,1b, FALSE,Average cost per lane mile resurfaced citywide ($),"$192,536","$169,201","$160,759","$149,102",NA,*,*,NA,Down
DDC,1a, FALSE,– Construction completed on schedule (%),88%,84%,85%,84%,94%,82%,82%,Neutral,Up
DoITT,6b, FALSE,Percent meeting time to close – cable complaint - video service (15 days),96,97,96,96,86,*,*,Neutral,*
OCME,2a, FALSE,Number of decedents' remains transported and stored by OCME,"9,473","10,456","10,721","10,108","10,330",*,*,Neutral,*
DFTA,3a, FALSE,Completed requests for interpretation,485,523,428,892,873,*,*,Up,*
DOE,5a, TRUE,– Other incidents,"4,350","3,811","3,975","4,092","4,361",↓,↓,Neutral,Down
LPC,1b, TRUE,Actions taken on work permit applications received,"11,767","13,176","15,446","14,081","13,533",*,*,Up,*
DOHMH,6a, FALSE,Workplace injuries reported,145,118,104,104,116,*,*,Down,Down
CCHR,1a, FALSE,– Cases closed (%) - administrative cause,25%,21%,20%,62%,65%,*,*,Up,*
HPD,1b, FALSE,– Lead,"13,615","13,046","11,132","11,625","12,774",*,*,Neutral,*
HPD,1a, TRUE,Average time to close nonemergency complaints (days),14.5,18.1,27.9,23.3,21,20,20,Up,Down
DCAS,5a, FALSE,– Electricity (%),52.10%,50.40%,49.30%,51.00%,50.40%,*,*,Neutral,*
DCP,1a, FALSE,Neighborhood enhancement proposals completed and presented to the public,13,8,30,14,28,*,*,Up,Up
DOT,1b, FALSE,Total violations issued,"27,382","33,843","34,266","67,065","46,285",*,*,Up,*
SCA,1b, FALSE,Average new school construction cost per square foot  - Early childhood ($),NA,NA,NA,NA,NA,*,*,NA,Down
DOT,6a, FALSE,Workplace injuries reported,411,359,390,371,331,*,*,Down,Down
LPC,1b, FALSE,Expedited Certificates of No Effect issued within two business days (%),100%,97%,90%,99%,94%,100%,100%,Neutral,Up
NYCHH,1a, TRUE,Eligible women receiving a mammogram screening (%),73.90%,75.60%,77.80%,76.40%,75.40%,80.00%,80.00%,Neutral,Up
NYCHA,3b, FALSE,Job training programs - ratio of job placements to program graduates (current period),91%,73%,69%,63%,91%,*,*,Neutral,Up
OATH,2a, TRUE,Total summonses processed at the OATH Hearings Division,"516,039","475,222","476,986","612,124","633,596",*,*,Up,*
DOE,5a, FALSE,– Full-time special education (District 75) ($),"$79,964","$85,549","$89,887","$96,607",NA,*,*,NA,*
DOT,1b, FALSE,Average vendor cost of asphalt per ton ($),$76.64,$63.24,$58.67,$55.43,NA,*,*,NA,Down
HPD,1a, FALSE,Ratio of completed inspections to attempted inspections (%),72%,78%,80%,78%,80%,*,*,Neutral,Up
DCAS,4a, FALSE,Mayoral agency spending on goods and services against DCAS master contracts (%),NA,NA,41%,55%,58%,*,*,NA,*
DCA,5b, FALSE,Percent meeting time to first action - Consumer Complaint - Exchange/Refund/Return (4 days),97%,70%,83%,93%,98%,85%,85%,Up,*
EDC,2a, FALSE,"Portfolio revenue generated ($000,000)",$180.30,$199.40,$192.40,$191.20,$191.10,*,*,Neutral,Up
DOP,1b, TRUE,Juvenile delinquency cases eligible for adjustment (%),34.00%,28.00%,31.00%,28.40%,25.00%,32.00%,30.00%,Down,Up
DOF,6a, FALSE,"– Property transfer taxes collected ($000,000)","$1,828","$2,488","$2,920","$3,008","$2,501",*,*,Up,*
FDNY,3a, FALSE,Average time from inspection request until inspection (days) - Rangehood inspections,5,5,5,5,5,*,*,Neutral,Down
DCLA,3a, FALSE,E-mails responded to in 14 days (%),86%,90%,92%,95%,89%,88%,88%,Neutral,Up
DCAS,7a, FALSE,City employees trained in defensive driving citywide,NA,"2,357","15,266","7,929","7,876","8,000","8,000",NA,Up
DSNY,3a, TRUE,Curbside and containerized recycling diversion rate (%),15.10%,15.40%,16.00%,16.90%,17.40%,21.00%,21.00%,Up,Up
NYCHA,2c, FALSE,Annual Section 8 recertifications,91.20%,92.90%,96.70%,98.00%,98.00%,*,*,Neutral,Up
HRA,5a, TRUE,"Medicaid recoveries and cost avoidance for fraud, waste & abuse ($000,000)",$205.09,$224.89,$186.26,$162.38,$187.39,↑,↑,Down,Up
DCAS,1b, FALSE,New hires - Unspecified (%),9.70%,11.50%,7.90%,12.90%,5.70%,*,*,Down,*
DOF,2b, TRUE,Average turnaround time to issue decision for parking ticket hearing-by-web (days),3.8,7,6.5,4.4,3.7,8.5,8.5,Down,Down
HRA,5a, FALSE,IDNYC - number of applications processed,NA,NA,"366,473","545,184","245,610",*,*,NA,*
ACS,2a, TRUE,Average EarlyLearn contract enrollment,"30,096","30,422","30,079","30,671","30,117","31,000","31,300",Neutral,Up
DCA,5b, FALSE,Percent meeting time to first action - DCA / DOHMH New License Application Request - General Street Vendor License (7 days),92%,92%,65%,78%,84%,85%,85%,Down,*
BIC,2a, FALSE,Violations issued at public wholesale markets,134,79,45,97,64,*,*,Down,*
QPL,NA, FALSE,New library card registrations,"100,327","198,626","171,677","103,457","101,914",*,*,Down,*
DOE,6a, FALSE,E-mails responded to in 14 days (%),NA,62%,64.30%,60.40%,60.10%,61.40%,61.10%,NA,Up
FDNY,1c, TRUE,Serious fires reaching second alarm or higher (%),7%,8%,8%,8%,8%,↓,↓,Up,Down
DHS,2a, FALSE,Average school attendance rate for children in the DHS shelter services system (%),83.60%,85.40%,83.90%,82.00%,82.70%,*,*,Neutral,Up
DYCD,2a, FALSE,Number of Summer Youth Employment Program contracts,64,98,98,100,100,*,*,Up,*
DEP,1a, TRUE,In-City samples meeting water quality standards for coliform bacteria (%),100%,100%,100%,100%,100%,100%,100%,Neutral,Up
311,1a, FALSE,311 mobile app contacts (000),NA,NA,705,"1,010","1,365",*,*,NA,Up
DOI,1a, TRUE,Written policy and procedure recommendations to City agencies,564,280,370,700,498,300,300,Up,*
OCME,3b, FALSE,Remains identified following a disaster (cumulative),"13,639","13,979","14,202","14,308","14,370",*,*,Neutral,Up
DORIS,2b, FALSE,Records transferred into Municipal Records Center (cubic ft. ),"47,250","20,509","27,837","6,668","4,703",*,*,Down,Up
DOF,6a, FALSE,"– Other revenue ($000,000)",$661,$685,$717,$738,$798,*,*,Up,*
DOE,1b, FALSE,Parents attending school-based workshops (000),793,785,976,"1,036","1,102","1,037","1,037",Up,Up
DYCD,4a, FALSE,Fiscal audits conducted,310,305,290,344,345,345,345,Up,*
DoITT,6b, FALSE,Percent meeting time to close – public payphone complaint - damaged telephone (30 days),44,77,74,86,85,*,*,Up,*
CUNY,NA, FALSE,Enrollment of first-time freshmen in CUNY community colleges who are recent graduates of NYC public high schools,"13,476","12,758","13,790","13,769","13,589",*,*,Neutral,*
OCME,1b, TRUE,Median time to complete autopsy reports (days),50,56,77,69,57,60,60,Up,Down
DCAS,3a, TRUE,– Revenue generated from auto auctions ($000),"$7,630","$7,957","$6,254","$9,770","$7,732","$6,492","$6,692",Up,*
DOB,2b, TRUE,Violations admitted to or upheld at the Environmental Control Board (%),79.40%,82.10%,84.50%,85.20%,81.70%,80.00%,80.00%,Neutral,Up
DCAS,1b, TRUE,New hires - Female (%),44.40%,42.80%,46.30%,40.70%,47.00%,*,*,Neutral,*
DORIS,2a, TRUE,Average response time to agency requests for inactive records (days),1.2,1,0.9,1.2,1.2,2,2,Up,Down
DOI,1b, TRUE,Arrests resulting from DOI investigations,840,516,499,551,765,*,*,Neutral,*
CCHR,3a, FALSE,CORE customer experience rating (0-100),94,97,98,100,98,*,*,Neutral,Up
TLC,1a, FALSE,Active medallion vehicles with hearing induction loops,NA,312,668,"1,410","2,205",*,*,NA,Up
DSNY,6b, FALSE,Percent meeting time to close – Literature Request - Blue Recycling Decals (7 days),100,100,100,100,100,*,*,Neutral,*
FDNY,2a, FALSE,End-to-end combined average response time to life-threatening medical emergencies by ambulances & fire companies (minutes:seconds),NA,NA,8:18,8:17,8:09,*,*,NA,Down
BOE,NA, FALSE,Voter complaints regarding poll workers,434,422,446,304,721,*,*,Up,Down
DoITT,3a, FALSE,Average time to resolve all video cable complaints (days),13,14,13,13,14,*,*,Neutral,Down
DCA,1c, TRUE,Number of fines collected within 45 days of assessment (%),84%,81%,82%,89%,70%,80%,80%,Neutral,Up
TLC,3a, FALSE,E-mails responded to in 14 days (%),75%,93%,99%,98%,99%,80%,85%,Up,Up
HRA,3b, TRUE,Eligible families seeking shelter at Prevention Assistance and Temporary Housing (PATH) who entered HRA's domestic violence shelters (%),80.80%,78.50%,48.60%,30.50%,30.40%,*,*,Down,*
DCAS,2c, FALSE,Square footage associated with executed lease-in agreements (000),969,"1,957","1,712","3,011","1,724",*,*,Up,*
DORIS,2a, FALSE,Requests for stored records processed within 48 hours (%),92.00%,98.00%,100.00%,94.00%,91.00%,*,*,Neutral,Up
ACS,2a, TRUE,Average family child care voucher enrollment,"21,503","21,507","22,177","24,119","24,786",*,*,Up,*
CCRB,1c, FALSE,– Cases closed by plea,NA,NA,57,60,63,*,*,NA,*
